label,src_ip,src_port,dst_ip,dst_port,dst2src_bytes,src2dst_bytes,protocol,bidirectional_duration_ms
udp,10.105.11.201,63559,224.0.0.252,5355,0,156,17,420
udp,fe80::8db8:8ebc:e236:794f,58011,ff02::1:3,5355,0,196,17,420
udp,10.105.11.201,58011,224.0.0.252,5355,0,156,17,420
udp,fe80::8db8:8ebc:e236:794f,51061,ff02::1:3,5355,0,196,17,420
udp,10.105.11.201,51061,224.0.0.252,5355,0,156,17,420
udp,fe80::8db8:8ebc:e236:794f,61781,ff02::1:3,5355,0,196,17,420
udp,10.105.11.201,61781,224.0.0.252,5355,0,156,17,420
tcp,10.107.20.201,62949,10.105.10.95,7680,0,264,6,7029
udp,fe80::a861:4965:d154:9a39,64138,ff02::1:3,5355,0,176,17,419
udp,10.105.10.55,64138,224.0.0.252,5355,0,136,17,419
udp,fe80::a861:4965:d154:9a39,61493,ff02::1:3,5355,0,176,17,419
udp,10.105.10.55,61493,224.0.0.252,5355,0,136,17,419
udp,10.105.10.82,58279,239.255.255.250,1900,0,844,17,3021
udp,fe80::8db8:8ebc:e236:794f,51034,ff02::1:3,5355,0,196,17,419
udp,10.105.11.201,51034,224.0.0.252,5355,0,156,17,419
udp,fe80::8db8:8ebc:e236:794f,49771,ff02::1:3,5355,0,196,17,419
udp,10.105.11.201,49771,224.0.0.252,5355,0,156,17,419
udp,fe80::8db8:8ebc:e236:794f,63542,ff02::1:3,5355,0,196,17,416
udp,10.105.11.201,63542,224.0.0.252,5355,0,156,17,416
udp,fe80::8db8:8ebc:e236:794f,51654,ff02::1:3,5355,0,196,17,415
udp,10.105.11.201,51654,224.0.0.252,5355,0,156,17,415
udp,fe80::a861:4965:d154:9a39,53524,ff02::1:3,5355,0,176,17,420
udp,10.105.10.55,53524,224.0.0.252,5355,0,136,17,420
udp,fe80::a861:4965:d154:9a39,51186,ff02::1:3,5355,0,176,17,419
udp,10.105.10.55,51186,224.0.0.252,5355,0,136,17,419
udp,10.105.10.105,55339,239.255.255.250,1900,0,648,17,2028
udp,fe80::a861:4965:d154:9a39,51067,ff02::1:3,5355,0,176,17,421
udp,10.105.10.55,51067,224.0.0.252,5355,0,136,17,421
udp,fe80::a861:4965:d154:9a39,62820,ff02::1:3,5355,0,176,17,421
udp,10.105.10.55,62820,224.0.0.252,5355,0,136,17,420
icmp,10.0.2.15,0,8.8.8.8,0,32144,32144,1,327713
icmp,10.0.2.15,60972,8.8.8.8,53,92,76,17,58
icmp,10.0.2.15,58548,8.8.8.8,53,216,76,17,59
icmp,10.0.2.15,0,104.77.212.186,0,2156,2156,1,21056
icmp,10.0.2.15,37933,8.8.8.8,53,164,98,17,25
icmp,10.0.2.15,51243,8.8.8.8,53,93,77,17,27
icmp,10.0.2.15,58993,8.8.8.8,53,142,77,17,17
icmp,10.0.2.15,0,199.232.42.217,0,980,980,1,9023
icmp,10.0.2.15,40805,8.8.8.8,53,293,185,17,54
icmp,10.0.2.15,56035,8.8.8.8,53,124,76,17,16
icmp,10.0.2.15,41563,8.8.8.8,53,148,76,17,82
icmp,10.0.2.15,0,18.202.75.72,0,0,1764,1,17394
icmp,10.0.2.15,34030,8.8.8.8,53,113,81,17,67
icmp,10.0.2.15,52939,8.8.8.8,53,143,81,17,24
icmp,10.0.2.15,0,165.160.15.20,0,0,1862,1,18423
icmp,192.168.240.1,59083,192.168.255.255,1947,0,82,17,0
icmp_c2,192.168.240.1,0,192.168.249.14,0,18842,13928,1,26438
icmp,192.168.240.1,58696,192.168.255.255,1947,0,82,17,0
icmp,192.168.240.1,5353,224.0.0.251,5353,0,83,17,0
icmp,192.168.240.1,61308,192.168.255.255,1947,0,82,17,0
icmp,192.168.240.1,52796,192.168.255.255,1947,0,82,17,0
icmp,192.168.240.1,61967,192.168.255.255,1947,0,82,17,0
icmp,192.168.240.1,64998,192.168.255.255,1947,0,82,17,0
icmp,fe80::215:5dff:fe74:7f9c,0,ff02::2,0,0,70,58,0
icmp,192.168.240.1,55383,192.168.255.255,1947,0,82,17,0
icmp_c2,192.168.240.1,0,192.168.249.14,0,22695,16415,1,215204
icmp,192.168.240.1,60285,192.168.255.255,1947,0,82,17,0
icmp,192.168.240.1,64072,192.168.255.255,1947,0,82,17,0
icmp,192.168.240.1,57340,192.168.255.255,1947,0,82,17,0
icmp,192.168.240.1,59157,192.168.255.255,1947,0,82,17,0
icmp,192.168.240.1,51385,192.168.255.255,1947,0,82,17,0
icmp,192.168.240.1,5353,224.0.0.251,5353,0,800,17,1034
icmp,fe80::153b:7b61:9f9e:f316,5353,ff02::fb,5353,0,960,17,1032
icmp,192.168.240.1,55383,192.168.255.255,1947,0,82,17,0
icmp_c2,192.168.240.1,0,192.168.241.140,0,31654,23044,1,61384
icmp,192.168.240.1,51826,192.168.255.255,1947,0,82,17,0
icmp,192.168.240.1,51829,255.255.255.255,1947,0,82,17,0
icmp,192.168.240.1,49917,192.168.255.255,1947,0,82,17,0
icmp,192.168.240.1,49919,255.255.255.255,1947,0,82,17,0
icmp_c2,192.168.240.1,0,192.168.241.140,0,37256,26966,1,90819
icmp,192.168.240.1,53349,192.168.255.255,1947,0,82,17,0
icmp,192.168.240.1,53352,255.255.255.255,1947,0,82,17,0
icmp,192.168.240.1,52939,192.168.255.255,1947,0,82,17,0
icmp,192.168.240.1,52942,255.255.255.255,1947,0,82,17,0
icmp,192.168.240.1,49266,192.168.255.255,1947,0,82,17,0
icmp,192.168.240.1,49269,255.255.255.255,1947,0,82,17,0
